     country_name      | release_year |  average_review_score  
-----------------------+--------------+------------------------
 Argentina             |         1944 |     7.4000000000000000
 Argentina             |         1971 |     5.0000000000000000
 Argentina             |         1974 |     4.6000000000000000
 Argentina             |         1975 |     7.1000000000000000
 Argentina             |         1976 |     5.8000000000000000
 Argentina             |         1979 |     5.9500000000000000
 Argentina             |         1994 |     6.1000000000000000
 Argentina             |         2001 |     4.2000000000000000
 Argentina             |         2004 |     3.4000000000000000
 Argentina             |         2005 |     6.5000000000000000
 Argentina             |         2007 |     3.9000000000000000
 Argentina             |         2008 |     2.6000000000000000
 Argentina             |         2011 |     4.9750000000000000
 Argentina             |         2012 |     5.2500000000000000
 Argentina             |         2013 |     5.4000000000000000
 Argentina             |         2014 |     5.7000000000000000
 Argentina             |         2015 |     5.8333333333333333
 Argentina             |         2016 |     4.6666666666666667
 Argentina             |         2017 |     4.7000000000000000
 Australia             |         1975 |     4.8000000000000000
 Australia             |         1980 |     4.7666666666666667
 Australia             |         1981 |     5.2666666666666667
 Australia             |         1982 |     5.7000000000000000
 Australia             |         1987 |     7.1000000000000000
 Australia             |         1988 |     5.3000000000000000
 Australia             |         1990 |     4.6000000000000000
 Australia             |         1992 |     4.3500000000000000
 Australia             |         1994 |     4.9000000000000000
 Australia             |         1997 |     5.2000000000000000
 Australia             |         2000 |     4.9250000000000000
 Australia             |         2003 |     5.3000000000000000
 Australia             |         2005 |     4.0000000000000000
 Australia             |         2006 |     5.0666666666666667
 Australia             |         2007 |     5.9500000000000000
 Australia             |         2008 |     4.7600000000000000
 Australia             |         2009 |     4.2400000000000000
 Australia             |         2010 |     5.5500000000000000
 Australia             |         2011 |     4.5333333333333333
 Australia             |         2012 |     5.2000000000000000
 Australia             |         2013 |     4.0000000000000000
 Australia             |         2014 |     4.5800000000000000
 Australia             |         2015 |     4.6500000000000000
 Australia             |         2016 |     5.0400000000000000
 Australia             |         2017 |     5.7000000000000000
 Austria               |         1921 |     7.4000000000000000
 Austria               |         1952 |     6.4000000000000000
 Austria               |         1960 |     6.2000000000000000
 Austria               |         1985 |     4.8000000000000000
 Austria               |         2005 |     5.5000000000000000
 Austria               |         2006 |     5.5000000000000000
 Austria               |         2008 |     6.0000000000000000
 Austria               |         2011 |     4.5000000000000000
 Austria               |         2013 |     4.0500000000000000
 Austria               |         2014 |     5.3000000000000000
 Austria               |         2015 |     5.6000000000000000
 Austria               |         2016 |     5.0500000000000000
 Bahrain               |         2004 |     4.3000000000000000
 Bahrain               |         2012 |     5.9000000000000000
 Bahrain               |         2013 |     5.0500000000000000
 Belarus               |         2014 |     5.3000000000000000
 Belgium               |         1974 |     4.6000000000000000
 Belgium               |         1975 |     4.9000000000000000
 Belgium               |         1986 |     3.8000000000000000
 Belgium               |         1991 |     4.8000000000000000
 Belgium               |         1994 |     4.6000000000000000
 Belgium               |         2002 |     5.4000000000000000
 Belgium               |         2005 |     6.2000000000000000
 Belgium               |         2008 |     4.8000000000000000
 Belgium               |         2010 |     4.2500000000000000
 Belgium               |         2012 |     5.2000000000000000
 Belgium               |         2013 |     5.6500000000000000
 Belgium               |         2014 |     4.8800000000000000
 Belgium               |         2015 |     5.2000000000000000
 Belgium               |         2017 |     7.1000000000000000
 Bolivia               |         2011 |     5.2000000000000000
 Bolivia               |         2015 |     5.0000000000000000
 Brazil                |         1951 |     7.2000000000000000
 Brazil                |         1964 |     7.0000000000000000
 Brazil                |         1967 |     7.1000000000000000
 Brazil                |         1968 |     6.5000000000000000
 Brazil                |         1976 |     4.6000000000000000
 Brazil                |         1979 |     5.9000000000000000
 Brazil                |         1982 |     5.1000000000000000
 Brazil                |         1990 |     6.1000000000000000
 Brazil                |         1992 |     4.2000000000000000
 Brazil                |         1993 |     6.4000000000000000
 Brazil                |         1994 |     5.9000000000000000
 Brazil                |         1996 |     7.4000000000000000
 Brazil                |         1999 |     5.9500000000000000
 Brazil                |         2008 |     6.0000000000000000
 Brazil                |         2009 |     5.7000000000000000
 Brazil                |         2011 |     5.2250000000000000
 Brazil                |         2012 |     3.0000000000000000
 Brazil                |         2014 |     7.1500000000000000
 Brazil                |         2015 |     5.7250000000000000
 Brazil                |         2016 |     5.0333333333333333
 Brazil                |         2017 |     5.7500000000000000
 Bulgaria              |         2013 |     6.2000000000000000
 Cambodia              |         2015 |     7.4000000000000000
 Canada                |         1965 |     3.8000000000000000
 Canada                |         1968 |     5.1000000000000000
 Canada                |         1971 |     6.5000000000000000
 Canada                |         1974 |     4.5500000000000000
 Canada                |         1976 |     4.3000000000000000
 Canada                |         1981 |     5.3000000000000000
 Canada                |         1983 |     2.3000000000000000
 Canada                |         1985 |     4.6000000000000000
 Canada                |         1986 |     4.4000000000000000
 Canada                |         1987 |     4.4000000000000000
 Canada                |         1988 |     4.8000000000000000
 Canada                |         1989 |     6.0000000000000000
 Canada                |         1990 |     4.3000000000000000
 Canada                |         1991 |     4.0500000000000000
 Canada                |         1993 |     5.9000000000000000
 Canada                |         1994 |     4.7000000000000000
 Canada                |         1996 |     6.2000000000000000
 Canada                |         1998 |     4.2000000000000000
 Canada                |         2000 |     5.4333333333333333
 Canada                |         2001 |     4.6250000000000000
 Canada                |         2002 |     4.2500000000000000
 Canada                |         2003 |     4.7000000000000000
 Canada                |         2004 |     5.1750000000000000
 Canada                |         2005 |     5.2500000000000000
 Canada                |         2006 |     3.3666666666666667
 Canada                |         2007 |     5.2666666666666667
 Canada                |         2008 |     4.1800000000000000
 Canada                |         2009 |     4.6250000000000000
 Canada                |         2010 |     4.0428571428571429
 Canada                |         2011 |     4.8125000000000000
 Canada                |         2012 |     4.4800000000000000
 Canada                |         2013 |     4.7200000000000000
 Canada                |         2014 |     3.5714285714285714
 Canada                |         2015 |     5.1461538461538462
 Canada                |         2016 |     5.1500000000000000
 Canada                |         2017 |     6.9466666666666667
 Chile                 |         2009 |     2.7000000000000000
 Chile                 |         2011 |     4.4000000000000000
 Chile                 |         2012 |     5.4000000000000000
 Chile                 |         2014 |     4.7666666666666667
 China                 |         2006 |     4.0000000000000000
 China                 |         2008 |     4.2000000000000000
 China                 |         2012 |     4.8500000000000000
 China                 |         2013 |     5.2500000000000000
 China                 |         2014 |     4.2200000000000000
 China                 |         2015 |     5.3000000000000000
 China                 |         2016 |     5.1600000000000000
 China                 |         2017 |     4.9000000000000000
 Colombia              |         1983 |     6.6000000000000000
 Colombia              |         2006 |     6.2000000000000000
 Colombia              |         2011 |     4.8500000000000000
 Colombia              |         2015 |     5.0000000000000000
 Colombia              |         2016 |     3.6000000000000000
 Cuba                  |         1985 |     7.1000000000000000
 Czech Republic        |         1993 |     6.4000000000000000
 Czech Republic        |         2000 |     7.4000000000000000
 Czech Republic        |         2001 |     7.4000000000000000
 Czech Republic        |         2002 |     7.7000000000000000
 Czech Republic        |         2005 |     7.3000000000000000
 Czech Republic        |         2007 |     7.0000000000000000
 Czech Republic        |         2008 |     6.7000000000000000
 Czech Republic        |         2010 |     4.4000000000000000
 Czech Republic        |         2015 |     4.5000000000000000
 Czech Republic        |         2016 |     5.2000000000000000
 Czechoslovakia        |         1969 |     8.1000000000000000
 Czechoslovakia        |         1970 |     7.3000000000000000
 Czechoslovakia        |         1978 |     7.8000000000000000
 Czechoslovakia        |         1982 |     6.1000000000000000
 Czechoslovakia        |         1986 |     8.0000000000000000
 Czechoslovakia        |         1989 |     7.1000000000000000
 Denmark               |         1915 |     6.1000000000000000
 Denmark               |         1920 |     7.0000000000000000
 Denmark               |         1929 |     6.8000000000000000
 Denmark               |         1961 |     3.6000000000000000
 Denmark               |         1962 |     6.7000000000000000
 Denmark               |         1964 |     5.5000000000000000
 Denmark               |         1971 |     3.6000000000000000
 Denmark               |         1973 |     3.2000000000000000
 Denmark               |         1976 |     5.4000000000000000
 Denmark               |         1981 |     5.1000000000000000
 Denmark               |         1983 |     4.4000000000000000
 Denmark               |         1985 |     4.8000000000000000
 Denmark               |         1987 |     6.2000000000000000
 Denmark               |         1995 |     6.0000000000000000
 Denmark               |         1996 |     4.8000000000000000
 Denmark               |         1998 |     4.3000000000000000
 Denmark               |         1999 |     6.3000000000000000
 Denmark               |         2003 |     6.2500000000000000
 Denmark               |         2005 |     4.6000000000000000
 Denmark               |         2007 |     5.4750000000000000
 Denmark               |         2009 |     6.6000000000000000
 Denmark               |         2012 |     6.2000000000000000
 Denmark               |         2014 |     4.7000000000000000
 Denmark               |         2015 |     6.3000000000000000
 Denmark               |         2016 |     4.8000000000000000
 Dominican Republic    |         2005 |     4.6000000000000000
 Egypt                 |         2010 |     4.9000000000000000
 Egypt                 |         2014 |     8.2000000000000000
 Egypt                 |         2015 |     4.1000000000000000
 Estonia               |         2017 |     6.2000000000000000
 Finland               |         1921 |     6.0000000000000000
 Finland               |         1948 |     6.8000000000000000
 Finland               |         1955 |     5.7000000000000000
 Finland               |         1959 |     5.8000000000000000
 Finland               |         1962 |     7.2000000000000000
 Finland               |         1973 |     6.3000000000000000
 Finland               |         1984 |     3.7000000000000000
 Finland               |         1988 |     6.5000000000000000
 Finland               |         1993 |     2.3000000000000000
 Finland               |         2003 |     4.1000000000000000
 Finland               |         2008 |     5.4000000000000000
 Finland               |         2010 |     6.7000000000000000
 Finland               |         2012 |     4.1000000000000000
 Finland               |         2015 |     4.0000000000000000
 Finland               |         2017 |     6.3000000000000000
 France                |         1919 |     7.3000000000000000
 France                |         1928 |     7.4000000000000000
 France                |         1960 |     6.7000000000000000
 France                |         1962 |     6.8000000000000000
 France                |         1963 |     6.0000000000000000
 France                |         1965 |     6.7500000000000000
 France                |         1967 |     7.1000000000000000
 France                |         1968 |     5.6000000000000000
 France                |         1969 |     6.8000000000000000
 France                |         1970 |     5.2833333333333333
 France                |         1971 |     5.7000000000000000
 France                |         1972 |     5.4333333333333333
 France                |         1973 |     5.9800000000000000
 France                |         1974 |     6.3000000000000000
 France                |         1975 |     5.2250000000000000
 France                |         1976 |     6.0000000000000000
 France                |         1977 |     4.7000000000000000
 France                |         1978 |     6.1333333333333333
 France                |         1979 |     6.5000000000000000
 France                |         1980 |     4.4200000000000000
 France                |         1981 |     4.6000000000000000
 France                |         1982 |     4.8666666666666667
 France                |         1983 |     4.3000000000000000
 France                |         1984 |     4.6000000000000000
 France                |         1985 |     5.6000000000000000
 France                |         1986 |     3.4750000000000000
 France                |         1987 |     4.3333333333333333
 France                |         1988 |     4.9714285714285714
 France                |         1989 |     4.8833333333333333
 France                |         1990 |     5.0000000000000000
 France                |         1992 |     5.8000000000000000
 France                |         1994 |     6.0666666666666667
 France                |         1997 |     5.3000000000000000
 France                |         1999 |     6.3000000000000000
 France                |         2000 |     4.2000000000000000
 France                |         2001 |     4.9250000000000000
 France                |         2002 |     5.4600000000000000
 France                |         2003 |     5.5000000000000000
 France                |         2004 |     6.0200000000000000
 France                |         2005 |     4.3875000000000000
 France                |         2006 |     6.2333333333333333
 France                |         2007 |     4.8666666666666667
 France                |         2008 |     5.7875000000000000
 France                |         2009 |     4.9375000000000000
 France                |         2010 |     5.7090909090909091
 France                |         2011 |     5.2000000000000000
 France                |         2012 |     4.9833333333333333
 France                |         2013 |     5.8666666666666667
 France                |         2014 |     4.8500000000000000
 France                |         2015 |     4.7000000000000000
 France                |         2016 |     5.3166666666666667
 France                |         2017 |     5.6222222222222222
 Georgia               |         2011 |     4.6500000000000000
 Germany               |         1919 |     6.2000000000000000
 Germany               |         1921 |     6.4000000000000000
 Germany               |         1932 |     7.6000000000000000
 Germany               |         1990 |     5.1000000000000000
 Germany               |         1991 |     3.7500000000000000
 Germany               |         1992 |     4.7500000000000000
 Germany               |         1993 |     5.8000000000000000
 Germany               |         1994 |     2.3500000000000000
 Germany               |         1996 |     6.0500000000000000
 Germany               |         1997 |     4.2000000000000000
 Germany               |         1998 |     2.8000000000000000
 Germany               |         1999 |     4.5000000000000000
 Germany               |         2000 |     5.2800000000000000
 Germany               |         2001 |     5.2000000000000000
 Germany               |         2002 |     5.8500000000000000
 Germany               |         2003 |     4.9750000000000000
 Germany               |         2004 |     6.2500000000000000
 Germany               |         2006 |     5.0800000000000000
 Germany               |         2007 |     3.8500000000000000
 Germany               |         2008 |     5.2000000000000000
 Germany               |         2009 |     4.3428571428571429
 Germany               |         2010 |     4.7142857142857143
 Germany               |         2011 |     5.0500000000000000
 Germany               |         2012 |     3.8500000000000000
 Germany               |         2013 |     3.7545454545454545
 Germany               |         2014 |     4.6125000000000000
 Germany               |         2015 |     3.7533333333333333
 Germany               |         2016 |     4.2083333333333333
 Germany               |         2017 |     6.8200000000000000
 Greece                |         1976 |     5.1000000000000000
 Greece                |         1988 |     4.1000000000000000
 Greece                |         1989 |     5.2000000000000000
 Greece                |         1990 |     6.6000000000000000
