     country_name      | average_review_score 
-----------------------+----------------------
 Maldives              |   7.8000000000000000
 Sri Lanka             |   7.5000000000000000
 Yugoslavia            |   7.5000000000000000
 Cambodia              |   7.4000000000000000
 Czechoslovakia        |   7.4000000000000000
 Cuba                  |   7.1000000000000000
 Soviet Union          |   7.0000000000000000
 Panama                |   6.7000000000000000
 Iran                  |   6.7000000000000000
 Pakistan              |   6.5750000000000000
 Venezuela             |   6.5000000000000000
 Czech Republic        |   6.4000000000000000
 Puerto Rico           |   6.2000000000000000
 Estonia               |   6.2000000000000000
 Bulgaria              |   6.2000000000000000
 Poland                |   6.0666666666666667
 Vietnam               |   5.9833333333333333
 Serbia and Montenegro |   5.9000000000000000
 Brazil                |   5.7718750000000000
 Hong Kong             |   5.7135922330097087
 Qatar                 |   5.7000000000000000
 Norway                |   5.7000000000000000
 Israel                |   5.6714285714285714
 Uruguay               |   5.6500000000000000
 Japan                 |   5.6495798319327731
 Romania               |   5.6200000000000000
 New Zealand           |   5.5700000000000000
 Malaysia              |   5.5523809523809524
 South Korea           |   5.5264462809917355
 Morocco               |   5.5000000000000000
 Slovenia              |   5.5000000000000000
 Philippines           |   5.4672000000000000
 Denmark               |   5.4533333333333333
 Ukraine               |   5.4333333333333333
 Slovakia              |   5.4000000000000000
 India                 |   5.3994186046511628
 Thailand              |   5.3881578947368421
 Kazakhstan            |   5.3500000000000000
 Indonesia             |   5.3407407407407407
 Switzerland           |   5.3400000000000000
 Finland               |   5.3333333333333333
 Ireland               |   5.3280000000000000
 Egypt                 |   5.3250000000000000
 Austria               |   5.3250000000000000
 France                |   5.3057894736842105
 Belarus               |   5.3000000000000000
 Spain                 |   5.2891566265060241
 Taiwan                |   5.2882352941176471
 Serbia                |   5.2750000000000000
 Sweden                |   5.2729166666666667
 Iceland               |   5.2500000000000000
 Mexico                |   5.2462500000000000
 Portugal              |   5.2437500000000000
 Greece                |   5.2428571428571429
 Singapore             |   5.2307692307692308
 Argentina             |   5.2258064516129032
 Colombia              |   5.1833333333333333
 Netherlands           |   5.1666666666666667
 Italy                 |   5.1497777777777778
 Latvia                |   5.1000000000000000
 Bolivia               |   5.1000000000000000
 UK                    |   5.0947236180904523
 Bahrain               |   5.0750000000000000
 USA                   |   5.0562769713613182
 Turkey                |   5.0507936507936508
 West Germany          |   4.9679487179487179
 Canada                |   4.9593984962406015
 United Arab Emirates  |   4.9400000000000000
 Hungary               |   4.9222222222222222
 Belgium               |   4.9111111111111111
 Australia             |   4.8729729729729730
 Russia                |   4.7660377358490566
 China                 |   4.6850000000000000
 Georgia               |   4.6500000000000000
 Germany               |   4.6061068702290076
 Chile                 |   4.6000000000000000
 Dominican Republic    |   4.6000000000000000
 Kuwait                |   4.6000000000000000
 Peru                  |   4.3687500000000000
 South Africa          |   3.9800000000000000
 Nigeria               |   2.9000000000000000
(81 rows)

