 runtime | average_review_score 
---------+----------------------
     169 |   8.8000000000000000
      16 |   8.7000000000000000
     170 |   8.2000000000000000
     183 |   8.0000000000000000
      22 |   7.8000000000000000
     168 |   7.5000000000000000
     180 |   7.5000000000000000
     191 |   7.4000000000000000
     155 |   7.4000000000000000
     178 |   7.2000000000000000
     146 |   7.0666666666666667
     159 |   7.0333333333333333
     142 |   7.0333333333333333
     147 |   6.9000000000000000
     123 |   6.8545454545454545
     166 |   6.6666666666666667
      53 |   6.6500000000000000
     131 |   6.6333333333333333
     135 |   6.6142857142857143
      41 |   6.6000000000000000
     177 |   6.6000000000000000
      50 |   6.5750000000000000
     121 |   6.5142857142857143
     129 |   6.5000000000000000
     141 |   6.4250000000000000
     140 |   6.4000000000000000
     132 |   6.3400000000000000
     122 |   6.3153846153846154
     115 |   6.3000000000000000
     144 |   6.2714285714285714
     138 |   6.2400000000000000
     126 |   6.2363636363636364
     156 |   6.2333333333333333
     112 |   6.1962962962962963
     119 |   6.1880000000000000
      48 |   6.1666666666666667
     109 |   6.1300000000000000
     153 |   6.1000000000000000
      47 |   6.1000000000000000
     111 |   6.0823529411764706
     151 |   6.0800000000000000
     150 |   6.0500000000000000
     120 |   6.0448979591836735
     107 |   6.0386363636363636
      59 |   6.0111111111111111
      44 |   6.0000000000000000
     113 |   5.9880000000000000
     117 |   5.9500000000000000
     127 |   5.9181818181818182
     116 |   5.9047619047619048
     110 |   5.9028985507246377
     172 |   5.9000000000000000
     134 |   5.9000000000000000
     184 |   5.9000000000000000
      45 |   5.8857142857142857
      56 |   5.8750000000000000
     137 |   5.8333333333333333
     108 |   5.7625000000000000
     114 |   5.7500000000000000
      64 |   5.7470588235294118
     103 |   5.7000000000000000
     124 |   5.6727272727272727
     106 |   5.6723404255319149
      54 |   5.6666666666666667
     161 |   5.6500000000000000
      49 |   5.6400000000000000
     105 |   5.6343750000000000
     104 |   5.6042253521126761
      61 |   5.5739130434782609
     118 |   5.5600000000000000
     128 |   5.5250000000000000
      60 |   5.5150000000000000
     225 |   5.5000000000000000
     136 |   5.5000000000000000
     125 |   5.5000000000000000
     102 |   5.4926829268292683
      63 |   5.4680000000000000
     130 |   5.4636363636363636
     165 |   5.4500000000000000
      66 |   5.4473684210526316
      99 |   5.4446969696969697
      58 |   5.4222222222222222
     101 |   5.4160000000000000
      55 |   5.3750000000000000
      67 |   5.3291666666666667
      98 |   5.3224137931034483
      97 |   5.3193103448275862
     143 |   5.3000000000000000
      68 |   5.2521739130434783
     160 |   5.2500000000000000
      65 |   5.2406250000000000
      71 |   5.2383333333333333
      96 |   5.2302702702702703
      95 |   5.2208633093525180
      52 |   5.2200000000000000
     100 |   5.2080246913580247
      91 |   5.1868421052631579
     133 |   5.1750000000000000
      46 |   5.1666666666666667
      93 |   5.1440677966101695
      62 |   5.1111111111111111
      92 |   5.0760956175298805
      57 |   5.0333333333333333
     139 |   5.0200000000000000
      80 |   4.9888513513513514
      94 |   4.9467661691542289
     163 |   4.9333333333333333
      87 |   4.9262295081967213
      89 |   4.9197674418604651
      70 |   4.9150000000000000
      86 |   4.9098290598290598
     145 |   4.9000000000000000
      84 |   4.8951111111111111
      69 |   4.8911764705882353
      72 |   4.8754385964912281
      73 |   4.8603174603174603
      79 |   4.8410526315789474
      81 |   4.8398648648648649
      78 |   4.8205607476635514
      77 |   4.8065217391304348
      39 |   4.8000000000000000
      27 |   4.8000000000000000
      90 |   4.7996316758747698
      85 |   4.7926573426573427
      51 |   4.7833333333333333
      88 |   4.7745519713261649
      83 |   4.7661111111111111
      76 |   4.7485714285714286
      82 |   4.7080188679245283
      74 |   4.7068181818181818
      75 |   4.6379629629629630
     281 |   4.5000000000000000
     194 |   2.8000000000000000
     250 |   2.4000000000000000
(134 rows)

