 release_year |                                                                            title                                                                             |    budget    
         2016 | Skookum: The Hunt for Bigfoot (2016)                                                                                                                         |   1000000.00
         2016 | Slit Mouth Woman in LA (2014)                                                                                                                                |   1000000.00
         2016 | Sorority Slaughterhouse (2016)                                                                                                                               |   1000000.00
         2016 | Tank 432 (2015)                                                                                                                                              |   1320000.00
         2016 | The Amityville Playhouse (2015)                                                                                                                              |    462000.00
         2016 | The Canadoo (2016)                                                                                                                                           |   1500000.00
         2016 | The Conjuring 2 (2016)                                                                                                                                       |  40000000.00
         2016 | The Cursed Man (2016)                                                                                                                                        |   1000000.00
         2016 | The Dead Room (2015)                                                                                                                                         |   1000000.00
         2016 | The Emeryville Experiments (2016)                                                                                                                            |   1000000.00
         2016 | The Hybrids Family (2015)                                                                                                                                    |   1500000.00
         2016 | The Lesson (2015)                                                                                                                                            |   6956400.00
         2016 | The Nightmare (2015)                                                                                                                                         |     93600.00
         2016 | The Rezort (2015)                                                                                                                                            |   6600000.00
         2016 | Vasos De Papel (2016)                                                                                                                                        |    350000.00
         2016 | Without Name (2016)                                                                                                                                          |    409500.00
         2015 | #Horror (2015)                                                                                                                                               |   1500000.00
         2015 | Aftermath (2015)                                                                                                                                             |   2500000.00
         2015 | Amnesiac (2014)                                                                                                                                              |   3000000.00
         2015 | Apparition (2015)                                                                                                                                            |   3000000.00
         2015 | Awaiting (2015)                                                                                                                                              |   3000000.00
         2015 | Axe to Grind (2015)                                                                                                                                          |    550000.00
         2015 | Bunny the Killer Thing (2015)                                                                                                                                |   1170000.00
         2015 | Carver (2015)                                                                                                                                                |     30000.00
         2015 | Darkside Witches (2015)                                                                                                                                      |   2340000.00
         2015 | Demon Baby (2014)                                                                                                                                            |   1320000.00
         2015 | Don't Grow Up (2015)                                                                                                                                         |   2340000.00
         2015 | Evil Ed Special EDition (2015)                                                                                                                               |     30000.00
         2015 | Extraordinary Tales (2013)                                                                                                                                   |   2340000.00
         2015 | Goosebumps (2015)                                                                                                                                            |  58000000.00
         2015 | Howl (2015)                                                                                                                                                  |   1320000.00
         2015 | Infini (2015)                                                                                                                                                |    800000.00
         2015 | Insidious: Chapter 3 (2015)                                                                                                                                  |  10000000.00
         2015 | Into the Grizzly Maze (2015)                                                                                                                                 |  10000000.00
