 release_year |                                                                            title                                                                             |    budget    
         2010 | Zombiechrist (2010)                                                                                                                                          |      5000.00
         2009 | Antichrist (2009)                                                                                                                                            |  11000000.00
         2009 | Autopsy (2008)                                                                                                                                               |   2000000.00
         2009 | Blood: The Last Vampire (2009)                                                                                                                               |  30000000.00
         2009 | Book of Blood (2009)                                                                                                                                         |   6000000.00
         2009 | Cabin Fever 2: Spring Fever (2009)                                                                                                                           |  10000000.00
         2009 | Crush (2009)                                                                                                                                                 |   1500000.00
         2009 | Dead Snow (2009)                                                                                                                                             |    800000.00
         2009 | Descendents (2008)                                                                                                                                           |     60000.00
         2009 | Doghouse (2009)                                                                                                                                              |   4000000.00
         2009 | Don't Look Back (2009)                                                                                                                                       |  15210000.00
         2009 | Drag Me to Hell (2009)                                                                                                                                       |  30000000.00
         2009 | Drifter: Henry Lee Lucas (2009)                                                                                                                              |   1500000.00
         2009 | Gnaw (2008)                                                                                                                                                  |   1500000.00
         2009 | Grace (2009)                                                                                                                                                 |   5000000.00
         2009 | Homecoming (2009)                                                                                                                                            |   1500000.00
         2009 | Imago mortis (2009)                                                                                                                                          |   3700000.00
         2009 | It's Alive (2008)                                                                                                                                            |  10000000.00
         2009 | Kill Theory (2009)                                                                                                                                           |   6000000.00
         2009 | Kinatay (2009)                                                                                                                                               |    800000.00
         2009 | Love, Sex & Drugs (2009)                                                                                                                                     |     60000.00
         2009 | Mutants (2008)                                                                                                                                               |   4000000.00
         2009 | No Man's Land: The Rise of Reeker (2008)                                                                                                                     |   2000000.00
         2009 | Pontypool (2008)                                                                                                                                             |   1500000.00
         2009 | Raaz: The Mystery Continues (2009)                                                                                                                           |   2300000.00
         2009 | Red Hook (2009)                                                                                                                                              |   1500000.00
         2009 | Reykjavik Whale Watching Massacre (2009)                                                                                                                     |   4000000.00
         2009 | Saw VI (2009)                                                                                                                                                |  11000000.00
         2009 | Slaughter (2009)                                                                                                                                             |   4000000.00
         2009 | Tell Tale (2009)                                                                                                                                             |  12000000.00
         2009 | Temptation (2009)                                                                                                                                            |    800000.00
         2009 | The Collector (2009)                                                                                                                                         |   6000000.00
         2009 | The Countess (2009)                                                                                                                                          |   8500000.00
         2009 | The Devil's Tomb (2009)                                                                                                                                      |  10000000.00
         2009 | The Echo (2008)                                                                                                                                              |   5000000.00
         2009 | The Final Destination (2009)                                                                                                                                 |  40000000.00
         2009 | The House That Jack Built (2009)                                                                                                                             |   1500000.00
         2009 | The Seamstress (2009)                                                                                                                                        |   1500000.00
         2009 | Thirst (2009)                                                                                                                                                |   5000000.00
         2009 | Vampiro (2009)                                                                                                                                               |    800000.00
         2009 | Walled In (2009)                                                                                                                                             |  10000000.00
         2009 | Yulenka (2009)                                                                                                                                               |   5000000.00
         2009 | [Rec] 2 (2009)                                                                                                                                               |   5600000.00
         2008 | 100 Feet (2008)                                                                                                                                              |  10000000.00
         2008 | A Darker Reality (2008)                                                                                                                                      |    500000.00
         2008 | American Zombie (2007)                                                                                                                                       |   1000000.00
         2008 | Amusement (2008)                                                                                                                                             |   6000000.00
         2008 | Behind the Wall (2008)                                                                                                                                       |   1200000.00
         2008 | Brotherhood of Blood (2007)                                                                                                                                  |    500000.00
         2008 | Bryan Loves You (2008)                                                                                                                                       |   1000000.00
         2008 | Citizen Toxie: The Toxic Avenger IV (2000)                                                                                                                   |    500000.00
         2008 | Dark Floors (2008)                                                                                                                                           |   5031000.00
         2008 | Dark Reel (2008)                                                                                                                                             |   1000000.00
         2008 | Dead Country (2008)                                                                                                                                          |   1000000.00
         2008 | Dead in 3 Days 2 (2008)                                                                                                                                      |   2340000.00
         2008 | Dimples (2008)                                                                                                                                               |    500000.00
         2008 | Don't Look in the Cellar (2008)                                                                                                                              |   1200000.00
         2008 | Dorothy Mills (2008)                                                                                                                                         |    500000.00
         2008 | Dying God (2008)                                                                                                                                             |    500000.00
         2008 | Evilution (2008)                                                                                                                                             |   1200000.00
         2008 | Frat House Massacre (2008)                                                                                                                                   |   1000000.00
         2008 | From a Place of Darkness (2008)                                                                                                                              |    500000.00
         2008 | Funny Games (2007)                                                                                                                                           |  15000000.00
         2008 | Heatstroke (2008)                                                                                                                                            |   2500000.00
         2008 | House (2008)                                                                                                                                                 |   2500000.00
         2008 | House of Usher (2008)                                                                                                                                        |   1000000.00
         2008 | KM 31: Kilometre 31 (2006)                                                                                                                                   |   2340000.00
         2008 | Knock Knock (2007)                                                                                                                                           |   1200000.00
         2008 | Lake Dead (2007)                                                                                                                                             |   2500000.00
         2008 | Left Bank (2008)                                                                                                                                             |    702000.00
         2008 | Let the Right One In (2008)                                                                                                                                  |   4000000.00
         2008 | Little Red Devil (2008)                                                                                                                                      |   1000000.00
         2008 | Martyrs (2008)                                                                                                                                               |   6500000.00
         2008 | Missing (2008)                                                                                                                                               |   8000000.00
         2008 | Pathology (2008)                                                                                                                                             |   8000000.00
         2008 | Pig Hunt (2008)                                                                                                                                              |   6000000.00
         2008 | Repo! The Genetic Opera (2008)                                                                                                                               |   8500000.00
         2008 | Rule of 3 (2008)                                                                                                                                             |    500000.00
         2008 | Sea of Dust (2008)                                                                                                                                           |   1000000.00
         2008 | Semum (2008)                                                                                                                                                 |   1200000.00
         2008 | Shutter (2008)                                                                                                                                               |   8000000.00
         2008 | Surveillance (2008)                                                                                                                                          |   3500000.00
         2008 | Takut: Faces of Fear (2008)                                                                                                                                  |   1000000.00
         2008 | Text (2008)                                                                                                                                                  |    500000.00
         2008 | The Guard Post (2008)                                                                                                                                        |   1000000.00
         2008 | The Legend of Bloody Mary (2008)                                                                                                                             |   1000000.00
         2008 | The Midnight Meat Train (2008)                                                                                                                               |  15000000.00
         2008 | The Mummy: Tomb of the Dragon Emperor (2008)                                                                                                                 | 145000000.00
         2008 | The Objective (2008)                                                                                                                                         |   4000000.00
         2008 | The Ruins (2008)                                                                                                                                             |   8000000.00
         2008 | The Sickhouse (2008)                                                                                                                                         |   4000000.00
         2008 | The Strangers (2008)                                                                                                                                         |  10000000.00
         2008 | The Thirst: Blood War (2008)                                                                                                                                 |   1000000.00
         2008 | Timber Falls (2007)                                                                                                                                          |   2600000.00
         2008 | Timecrimes (2007)                                                                                                                                            |   2600000.00
         2008 | Trailer Park of Terror (2008)                                                                                                                                |   3250000.00
         2007 | Afghan Knights (2007)                                                                                                                                        |   1500000.00
         2007 | Altered (2006)                                                                                                                                               |   8000000.00
         2007 | Born (2007)                                                                                                                                                  |   5000000.00
         2007 | Bug (2006)                                                                                                                                                   |   4000000.00
         2007 | Dark Mirror (2007)                                                                                                                                           |   1000000.00
         2007 | Dead Tone (2007)                                                                                                                                             |   3000000.00
         2007 | Feast (2005)                                                                                                                                                 |   3200000.00
         2007 | Fido (2006)                                                                                                                                                  |   8000000.00
         2007 | Hack! (2007)                                                                                                                                                 |   2000000.00
         2007 | Hansel and Gretel (2007)                                                                                                                                     |   4000000.00
         2007 | Hasta el viento tiene miedo (2007)                                                                                                                           |   1000000.00
         2007 | Hostel: Part II (2007)                                                                                                                                       |  10000000.00
         2007 | I Am Legend (2007)                                                                                                                                           | 150000000.00
         2007 | In a Dark Place (2006)                                                                                                                                       |   5000000.00
         2007 | Inside (2007)                                                                                                                                                |   3000000.00
         2007 | Kaidan (2007)                                                                                                                                                |   5000000.00
         2007 | Kutsal Damacana (2007)                                                                                                                                       |   2000000.00
         2007 | Moscow Zero (2006)                                                                                                                                           |  10000000.00
         2007 | Musallat (2007)                                                                                                                                              |   1500000.00
         2007 | My Name Is Bruce (2007)                                                                                                                                      |   1500000.00
         2007 | P2 (2007)                                                                                                                                                    |   8000000.00
         2007 | Perfect Creature (2006)                                                                                                                                      |  11000000.00
         2007 | Pipeline (2007)                                                                                                                                              |  11000000.00
         2007 | Saw IV (2007)                                                                                                                                                |  10000000.00
         2007 | Shadow Puppets (2007)                                                                                                                                        |   2000000.00
         2007 | Suffering Man's Charity (2007)                                                                                                                               |   3000000.00
         2007 | The Backwoods (2006)                                                                                                                                         |   4212000.00
         2007 | The Counting House (2007)                                                                                                                                    |   1500000.00
         2007 | The Dead One (2007)                                                                                                                                          |   1000000.00
         2007 | The Hitcher (2007)                                                                                                                                           |  10000000.00
         2007 | The Jinn (2007)                                                                                                                                              |    300000.00
         2007 | The Killing Floor (2007)                                                                                                                                     |   1000000.00
         2007 | The Marsh (2006)                                                                                                                                             |   9000000.00
         2007 | The Rage (2007)                                                                                                                                              |   2000000.00
         2007 | The Tattooist (2007)                                                                                                                                         |   3000000.00
         2007 | The Thirst (2006)                                                                                                                                            |   2000000.00
         2007 | Unholy (2007)                                                                                                                                                |   1000000.00
         2007 | Whisper (2007)                                                                                                                                               |  12000000.00
         2007 | White Noise 2: The Light (2007)                                                                                                                              |  10000000.00
         2006 | After... (2006)                                                                                                                                              |   1000000.00
         2006 | Bloody Reunion (2006)                                                                                                                                        |   2500000.00
         2006 | Dead & Breakfast (2004)                                                                                                                                      |    500000.00
         2006 | Dead in 3 Days (2006)                                                                                                                                        |   2340000.00
         2006 | Dood eind (2006)                                                                                                                                             |   1170000.00
         2006 | H6: Diario de un asesino (2005)                                                                                                                              |   1404000.00
         2006 | Horrors of War (2006)                                                                                                                                        |    300000.00
         2006 | Hui Buh (2006)                                                                                                                                               |  11700000.00
         2006 | Isolation (2005)                                                                                                                                             |   3828000.00
         2006 | Like Minds (2006)                                                                                                                                            |   8000000.00
         2006 | Loft (2005)                                                                                                                                                  |   2500000.00
         2006 | Minotaur (2006)                                                                                                                                              |   7000000.00
         2006 | Open Water 2: Adrift (2006)                                                                                                                                  |   1404000.00
         2006 | Return of the Living Dead: Necropolis (2005)                                                                                                                 |   6000000.00
         2006 | Ritual (2002)                                                                                                                                                |  10000000.00
         2006 | Room 6 (2006)                                                                                                                                                |   1000000.00
         2006 | Satan's Playground (2006)                                                                                                                                    |   1000000.00
         2006 | Saw III (2006)                                                                                                                                               |  10000000.00
         2006 | See No Evil (2006)                                                                                                                                           |   8000000.00
         2006 | Seed (2006)                                                                                                                                                  |  10000000.00
         2006 | Sheitan (2006)                                                                                                                                               |   3159000.00
         2006 | Sheitan Warrior (2006)                                                                                                                                       |    300000.00
         2006 | Silent Hill (2006)                                                                                                                                           |  50000000.00
         2006 | Tequila Body Shots (1999)                                                                                                                                    |   1700000.00
         2006 | The Choke (2006)                                                                                                                                             |   1000000.00
         2006 | The Hunt (2006)                                                                                                                                              |    500000.00
         2006 | The Pumpkin Karver (2006)                                                                                                                                    |   1000000.00
         2006 | The Zodiac (2005)                                                                                                                                            |   1000000.00
         2006 | Tideland (2005)                                                                                                                                              |  19300000.00
         2006 | Turistas (2006)                                                                                                                                              |  10000000.00
         2005 | Andrea: The Revenge of the Spirit (2005)                                                                                                                     |    225000.00
         2005 | Antarctic Journal (2005)                                                                                                                                     |   6500000.00
         2005 | Blood Dolls (1999)                                                                                                                                           |   1000000.00
         2005 | Boy Eats Girl (2005)                                                                                                                                         |   5000000.00
         2005 | Chaos (2005)                                                                                                                                                 |   1000000.00
         2005 | Cheap (2005)                                                                                                                                                 |     10000.00
         2005 | Constantine (2005)                                                                                                                                           | 100000000.00
         2005 | Cruel World (2005)                                                                                                                                           |   2000000.00
         2005 | Cry Wolf (2005)                                                                                                                                              |   1000000.00
         2005 | Curandero (2005)                                                                                                                                             |   3000000.00
         2005 | Die Zombiejäger (2005)                                                                                                                                       |      5148.00
         2005 | Fragile (2005)                                                                                                                                               |   8190000.00
         2005 | Gruesome School Trip (2005)                                                                                                                                  |   2681693.82
         2005 | Man-Thing (2005)                                                                                                                                             |   7500000.00
         2005 | Monster Man (2003)                                                                                                                                           |   4000000.00
         2005 | Noroi: The Curse (2005)                                                                                                                                      |   2000000.00
         2005 | Restless Souls (2005)                                                                                                                                        |   1500000.00
         2005 | Riding the Bullet (2004)                                                                                                                                     |   5000000.00
         2005 | Saw II (2005)                                                                                                                                                |   4000000.00
         2005 | Shallow Ground (2004)                                                                                                                                        |     72000.00
         2005 | The Picture of Dorian Gray (2005)                                                                                                                            |   3000000.00
         2005 | Thralls (2005)                                                                                                                                               |   1000000.00
         2005 | White Skin (2004)                                                                                                                                            |   1000000.00
         2005 | Wolf Creek (2005)                                                                                                                                            |   1000000.00
         2004 | Blade: Trinity (2004)                                                                                                                                        |  65000000.00
         2004 | Death Valley: The Revenge of Bloody Bill (2004)                                                                                                              |    750000.00
         2004 | Decoys (2004)                                                                                                                                                |   5000000.00
         2004 | Evil Eyes (2004)                                                                                                                                             |   1000000.00
         2004 | Evilenko (2004)                                                                                                                                              |   9700000.00
         2004 | Exorcism (2003)                                                                                                                                              |   1000000.00
         2004 | Ghost House (2004)                                                                                                                                           |   3700000.00
         2004 | Jennifer's Shadow (2004)                                                                                                                                     |   1000000.00
         2004 | Love Object (2003)                                                                                                                                           |   1000000.00
         2004 | Night of the Living Dorks (2004)                                                                                                                             |   4095000.00
         2004 | Okul (2004)                                                                                                                                                  |   1000000.00
         2004 | Rhinoceros Eyes (2003)                                                                                                                                       |   1000000.00
         2004 | Romasanta: The Werewolf Hunt (2004)                                                                                                                          |   5265000.00
         2004 | Shadows of the Dead (2004)                                                                                                                                   |    750000.00
         2004 | The Bone Snatcher (2003)                                                                                                                                     |   6000000.00
         2004 | The Eye 2 (2004)                                                                                                                                             |   2300000.00
         2004 | The Locker (2004)                                                                                                                                            |   1000000.00
         2004 | The Return of James Battle (2004)                                                                                                                            |  16380000.00
         2004 | Vampires: The Turning (2005)                                                                                                                                 |   5000000.00
         2003 | Acacia (2003)                                                                                                                                                |   2200000.00
         2003 | Beyond Re-Animator (2003)                                                                                                                                    |   3000000.00
         2003 | Grimm (2003)                                                                                                                                                 |   3700000.00
         2003 | Ju-on: The Grudge (2002)                                                                                                                                     |   3500000.00
         2003 | Maléfique (2002)                                                                                                                                             |   1170000.00
         2003 | May (2002)                                                                                                                                                   |    500000.00
         2003 | Octane (2003)                                                                                                                                                |  11500000.00
         2003 | The Gathering (2002)                                                                                                                                         |  18000000.00
         2003 | The Haunted Mansion (2003)                                                                                                                                   |  90000000.00
         2002 | .com for Murder (2002)                                                                                                                                       |   5000000.00
         2002 | Alias (2002)                                                                                                                                                 |   1500000.00
         2002 | Blade II (2002)                                                                                                                                              |  54000000.00
         2002 | Elvira's Haunted Hills (2001)                                                                                                                                |   1500000.00
         2002 | Engine Trouble (2002)                                                                                                                                        |    117000.00
         2002 | Eye See You (2002)                                                                                                                                           |  55000000.00
         2002 | Ichi the Killer (2001)                                                                                                                                       |   1400000.00
         2002 | My Little Eye (2002)                                                                                                                                         |   2640000.00
         2002 | Second Name (2002)                                                                                                                                           |   2925000.00
         2002 | The Happiness of the Katakuris (2001)                                                                                                                        |   1500000.00
         2002 | Wishcraft (2002)                                                                                                                                             |   5000000.00
         2002 | Yee do hung gaan (2002)                                                                                                                                      |   4000000.00
         2001 | Aks (2001)                                                                                                                                                   |   2200000.00
         2001 | Dagon (2001)                                                                                                                                                 |   4914000.00
         2001 | Demonium (2001)                                                                                                                                              |   2200000.00
         2001 | Ginger Snaps (2000)                                                                                                                                          |   5000000.00
         2001 | Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack (2001)                                                                                     |   9400000.00
         2001 | Killer Instinct (2001)                                                                                                                                       |   3000000.00
         2001 | Presence of Mind (1999)                                                                                                                                      |   3000000.00
         2001 | Sanctimony (2000)                                                                                                                                            |   3000000.00
         2001 | Sleepless (2001)                                                                                                                                             |   4000000.00
         2001 | The Breed (2001)                                                                                                                                             |   4000000.00
         2001 | The Forsaken (2001)                                                                                                                                          |  15000000.00
         2001 | The Shaft (2001)                                                                                                                                             |  15000000.00
         2001 | The St. Francisville Experiment (2000)                                                                                                                       |    250000.00
         2001 | Thir13en Ghosts (2001)                                                                                                                                       |  42000000.00
         2001 | Truth About Demons (2000)                                                                                                                                    |    500000.00
         2001 | Tuno negro (2001)                                                                                                                                            |   3000000.00
         2000 | Bruiser (2000)                                                                                                                                               |   5000000.00
         2000 | Cherry Falls (2000)                                                                                                                                          |  14000000.00
         2000 | Godzilla vs. Megaguirus (2000)                                                                                                                               |   8300000.00
         2000 | Mothman (2000)                                                                                                                                               |     60000.00
         2000 | Paranoid (2000)                                                                                                                                              |   4000000.00
         2000 | Spiders (2000)                                                                                                                                               |   2000000.00
         2000 | The Spreading Ground (2000)                                                                                                                                  |   4000000.00
         2000 | Urban Legends: Final Cut (2000)                                                                                                                              |  14000000.00
         2000 | What Lies Beneath (2000)                                                                                                                                     | 100000000.00
         1999 | Beowulf (1999)                                                                                                                                               |   3500000.00
         1999 | Cold Hearts (1999)                                                                                                                                           |    900000.00
         1999 | End of Days (1999)                                                                                                                                           | 100000000.00
         1999 | Resurrection (1999)                                                                                                                                          |  10000000.00
         1999 | Shrieker (1998)                                                                                                                                              |    300000.00
         1999 | Sleepy Hollow (1999)                                                                                                                                         | 100000000.00
         1999 | Tale of the Mummy (1998)                                                                                                                                     |   8000000.00
         1999 | The Nameless (1999)                                                                                                                                          |   1053000.00
         1998 | Angel of the Night (1998)                                                                                                                                    |    700000.00
         1998 | Beloved (1998)                                                                                                                                               |  80000000.00
         1998 | Bug Buster (1998)                                                                                                                                            |   8500000.00
         1998 | Carnival of Souls (1998)                                                                                                                                     |   2000000.00
         1998 | Darklands (1996)                                                                                                                                             |    750000.00
         1998 | Lady of the Lake (1998)                                                                                                                                      |     60000.00
         1998 | Legend of the Mummy (1998)                                                                                                                                   |   2000000.00
         1998 | Pi (1998)                                                                                                                                                    |     60000.00
         1998 | Rasen (1998)                                                                                                                                                 |   2900000.00
         1998 | Sacred Bodies (1998)                                                                                                                                         |   2900000.00
         1998 | Sphere (1998)                                                                                                                                                |  80000000.00
         1998 | The Minion (1998)                                                                                                                                            |   3000000.00
         1998 | The Phantom of the Opera (1998)                                                                                                                              |  10000000.00
         1997 | Alien: Resurrection (1997)                                                                                                                                   |  75000000.00
         1997 | Bloodletting (1997)                                                                                                                                          |     10000.00
         1997 | Dance with the Devil (1997)                                                                                                                                  |   4914000.00
         1997 | The Eighteenth Angel (1997)                                                                                                                                  |  25000000.00
         1997 | The Wax Mask (1997)                                                                                                                                          |   3000000.00
         1996 | Cemetery Man (1994)                                                                                                                                          |   4000000.00
         1996 | Hellraiser: Bloodline (1996)                                                                                                                                 |   4000000.00
         1996 | Killer Tongue (1996)                                                                                                                                         |   4000000.00
         1996 | Mary Reilly (1996)                                                                                                                                           |  47000000.00
         1996 | Night of the Scarecrow (1995)                                                                                                                                |   2000000.00
         1996 | Serpent's Lair (1995)                                                                                                                                        |   4000000.00
         1996 | The Grave (1996)                                                                                                                                             |   4000000.00
         1996 | The Stendhal Syndrome (1996)                                                                                                                                 |   3800000.00
         1996 | They Bite (1996)                                                                                                                                             |    130000.00
         1995 | Creep (1995)                                                                                                                                                 |    100000.00
         1995 | Godzilla vs. Destoroyah (1995)                                                                                                                               |  10000000.00
         1995 | Species (1995)                                                                                                                                               |  35000000.00
         1995 | Witch Academy (1995)                                                                                                                                         |    140000.00
         1994 | Cronos (1993)                                                                                                                                                |   2000000.00
         1994 | Giorgino (1994)                                                                                                                                              |  14040000.00
         1994 | Leprechaun 2 (1994)                                                                                                                                          |   2000000.00
         1994 | Mosquito (1994)                                                                                                                                              |    200000.00
         1994 | Necronomicon: Book of Dead (1993)                                                                                                                            |   4000000.00
         1994 | Phantasm III: Lord of the Dead (1994)                                                                                                                        |   2500000.00
         1994 | Return of the Living Dead III (1993)                                                                                                                         |   2000000.00
         1994 | The Paper Boy (1994)                                                                                                                                         |   2000000.00
         1994 | Ticks (1993)                                                                                                                                                 |   2000000.00
         1994 | Wolf (1994)                                                                                                                                                  |  70000000.00
         1993 | Carnosaur (1993)                                                                                                                                             |   1000000.00
         1993 | Dead Alive (1992)                                                                                                                                            |   3000000.00
         1993 | Doppelganger (1993)                                                                                                                                          |   3000000.00
         1993 | Dust Devil (1992)                                                                                                                                            |   5676000.00
         1993 | Jason Goes to Hell: The Final Friday (1993)                                                                                                                  |   3000000.00
         1993 | Man's Best Friend (1993)                                                                                                                                     |   6000000.00
         1993 | Soultaker (1990)                                                                                                                                             |    242000.00
         1993 | Tale of a Vampire (1992)                                                                                                                                     |   1000000.00
         1993 | The Good Son (1993)                                                                                                                                          |  17000000.00
         1993 | The Resurrected (1991)                                                                                                                                       |   6000000.00
         1993 | The Unnamable II: The Statement of Randolph Carter (1992)                                                                                                    |   1000000.00
         1993 | Trauma (1993)                                                                                                                                                |   7000000.00
         1993 | Warlock: The Armageddon (1993)                                                                                                                               |   3000000.00
         1992 | Death Becomes Her (1992)                                                                                                                                     |  55000000.00
         1992 | Revenge of Billy the Kid (1992)                                                                                                                              |    158400.00
         1992 | The Refrigerator (1991)                                                                                                                                      |    500000.00
         1992 | Waxwork II: Lost in Time (1992)                                                                                                                              |   3500000.00
         1991 | Alligator II: The Mutation (1991)                                                                                                                            |   3000000.00
         1991 | Bloodsucking Pharaohs in Pittsburgh (1991)                                                                                                                   |    250000.00
         1991 | Child's Play 3 (1991)                                                                                                                                        |  13000000.00
         1991 | Killer Nerd (1991)                                                                                                                                           |     12000.00
         1991 | Poison (1991)                                                                                                                                                |    250000.00
         1991 | Scarecrows (1988)                                                                                                                                            |    425000.00
         1991 | Sundown: The Vampire in Retreat (1989)                                                                                                                       |   3000000.00
         1991 | The Borrower (1991)                                                                                                                                          |   2000000.00
         1991 | The Devil's Daughter (1991)                                                                                                                                  |   2000000.00
         1991 | The Pit and the Pendulum (1991)                                                                                                                              |   2000000.00
         1990 | A Cat in the Brain (1990)                                                                                                                                    |    100000.00
         1990 | Brain Dead (1990)                                                                                                                                            |   2000000.00
         1990 | Bride of Re-Animator (1989)                                                                                                                                  |   2000000.00
         1990 | Gremlins 2: The New Batch (1990)                                                                                                                             |  50000000.00
         1990 | Maniac Cop 2 (1990)                                                                                                                                          |   4000000.00
         1990 | The Ambulance (1990)                                                                                                                                         |   4000000.00
         1990 | The Rift (1990)                                                                                                                                              |   1300000.00
         1990 | Witchtrap (1989)                                                                                                                                             |    420000.00
         1989 | After Midnight (1989)                                                                                                                                        |   3000000.00
         1989 | Communion (1989)                                                                                                                                             |   5000000.00
         1989 | Death House (1987)                                                                                                                                           |   1500000.00
         1989 | Evil Spawn (1987)                                                                                                                                            |     30000.00
         1989 | Food of the Gods II (1989)                                                                                                                                   |   3500000.00
         1989 | Godzilla vs. Biollante (1989)                                                                                                                                |   5000000.00
         1989 | Halloween 5 (1989)                                                                                                                                           |   3000000.00
         1989 | Leviathan (1989)                                                                                                                                             |  25000000.00
         1989 | Parents (1989)                                                                                                                                               |   3000000.00
         1989 | Phantom of the Mall: Eric's Revenge (1989)                                                                                                                   |   3000000.00
         1989 | Pumpkinhead (1988)                                                                                                                                           |   3500000.00
         1989 | Shocker (1989)                                                                                                                                               |   5000000.00
         1989 | Stepfather II (1989)                                                                                                                                         |   1500000.00
         1989 | The Chair (1988)                                                                                                                                             |   3000000.00
         1989 | The Church (1989)                                                                                                                                            |   3500000.00
         1989 | The Horror Show (1989)                                                                                                                                       |   3000000.00
         1989 | Troma's War (1988)                                                                                                                                           |   3000000.00
         1989 | Violent Shit (1989)                                                                                                                                          |      2000.00
         1988 | Curse of the Queerwolf (1988)                                                                                                                                |     10000.00
         1988 | Dead Heat (1988)                                                                                                                                             |   5000000.00
         1988 | Dream Demon (1988)                                                                                                                                           |   3960000.00
         1988 | Halloween 4: The Return of Michael Myers (1988)                                                                                                              |   5000000.00
         1988 | Near Dark (1987)                                                                                                                                             |   5000000.00
         1988 | Rock 'n' Roll Nightmare (1987)                                                                                                                               |     53000.00
         1988 | The Blob (1988)                                                                                                                                              |  19000000.00
         1988 | The Newlydeads (1988)                                                                                                                                        |    250000.00
         1988 | The Unnamable (1988)                                                                                                                                         |    350000.00
         1988 | Zombie Nightmare (1987)                                                                                                                                      |    180000.00
         1987 | Chillers (1987)                                                                                                                                              |    250000.00
         1987 | Hellraiser (1987)                                                                                                                                            |   1000000.00
         1987 | Jaws: The Revenge (1987)                                                                                                                                     |  23000000.00
         1987 | Prison (1987)                                                                                                                                                |   1300000.00
         1987 | Scared Stiff (1987)                                                                                                                                          |   1300000.00
         1987 | StageFright (1987)                                                                                                                                           |   1000000.00
         1987 | The Outing (1987)                                                                                                                                            |   2000000.00
         1987 | Truth or Dare?: A Critical Madness (1986)                                                                                                                    |    200000.00
         1987 | Witchboard (1986)                                                                                                                                            |   2000000.00
         1986 | Chopping Mall (1986)                                                                                                                                         |    800000.00
         1986 | Crimewave (1985)                                                                                                                                             |   3000000.00
         1986 | House (1985)                                                                                                                                                 |   3000000.00
         1986 | Jason Lives: Friday the 13th Part VI (1986)                                                                                                                  |   3000000.00
         1986 | Mutilations (1986)                                                                                                                                           |     95000.00
         1986 | Poltergeist II: The Other Side (1986)                                                                                                                        |  19000000.00
         1986 | Raiders of the Living Dead (1986)                                                                                                                            |    800000.00
         1986 | The Supernaturals (1986)                                                                                                                                     |   3000000.00
         1985 | Godzilla 1985 (1984)                                                                                                                                         |   2000000.00
         1985 | Hot Water (1985)                                                                                                                                             |    350000.00
         1985 | The Black Cauldron (1985)                                                                                                                                    |  44000000.00
         1985 | The Company of Wolves (1984)                                                                                                                                 |   2000000.00
         1985 | The Last Horror Film (1982)                                                                                                                                  |   2000000.00
         1985 | The Strangeness (1985)                                                                                                                                       |     25000.00
         1984 | Firestarter (1984)                                                                                                                                           |  15000000.00
         1983 | Jaws 3-D (1983)                                                                                                                                              |  20500000.00
         1982 | Cat People (1982)                                                                                                                                            |  18000000.00
         1981 | Wolfen (1981)                                                                                                                                                |  17000000.00
         1980 | Cannibal Holocaust (1980)                                                                                                                                    |    100000.00
         1980 | Day of Resurrection (1980)                                                                                                                                   |  16000000.00
         1980 | Island Claws (1980)                                                                                                                                          |   3500000.00
         1980 | Mother's Day (1980)                                                                                                                                          |    150000.00
         1980 | Terror Train (1980)                                                                                                                                          |   3500000.00
         1980 | The Island (1980)                                                                                                                                            |  22000000.00
         1980 | Without Warning (1980)                                                                                                                                       |    150000.00
         1979 | Dracula (1979)                                                                                                                                               |  12164000.00
         1979 | Prophecy (1979)                                                                                                                                              |  12000000.00
         1979 | Weasels Rip My Flesh (1979)                                                                                                                                  |       400.00
         1978 | Martin (1978)                                                                                                                                                |     80000.00
         1978 | The Manitou (1977)                                                                                                                                           |   3000000.00
         1978 | The Shout (1978)                                                                                                                                             |   6600000.00
         1978 | The Swarm (1978)                                                                                                                                             |  21000000.00
         1977 | Exorcist II: The Heretic (1977)                                                                                                                              |  14000000.00
         1977 | It's Murder! (1977)                                                                                                                                          |      2000.00
         1977 | The Sentinel (1977)                                                                                                                                          |   3700000.00
         1976 | King Kong (1976)                                                                                                                                             |  24000000.00
         1976 | Schlock (1973)                                                                                                                                               |     60000.00
         1975 | Poor Pretty Eddie (1975)                                                                                                                                     |   1100000.00
         1974 | Don't Look Now (1973)                                                                                                                                        |   1500000.00
         1974 | Superbeast (1972)                                                                                                                                            |    275000.00
         1973 | Beyond Atlantis (1973)                                                                                                                                       |    200000.00
         1973 | Lisa and the Devil (1973)                                                                                                                                    |   1000000.00
         1973 | Stanley (1972)                                                                                                                                               |    125000.00
         1973 | The Exorcist (1973)                                                                                                                                          |  12000000.00
         1973 | The Killing Kind (1973)                                                                                                                                      |    200000.00
         1972 | The Corpse Grinders (1971)                                                                                                                                   |     47000.00
         1972 | The Possession of Joel Delaney (1972)                                                                                                                        |   1300000.00
         1971 | Blood Shack (1971)                                                                                                                                           |       500.00
         1971 | House of Dark Shadows (1970)                                                                                                                                 |    750000.00
         1971 | Octaman (1971)                                                                                                                                               |    250000.00
         1971 | The Cat o' Nine Tails (1971)                                                                                                                                 |   1000000.00
         1970 | Bizarre (1970)                                                                                                                                               |     52800.00
