     country_name      | release_year |                                                                            title                                                                             |    budget    
 Japan                 |         1997 | The Eighteenth Angel (1997)                                                                                                                                  |  25000000.00
 Japan                 |         1996 | Night of the Scarecrow (1995)                                                                                                                                |   2000000.00
 Japan                 |         1995 | Godzilla vs. Destoroyah (1995)                                                                                                                               |  10000000.00
 Japan                 |         1994 | Mosquito (1994)                                                                                                                                              |    200000.00
 Japan                 |         1993 | Tale of a Vampire (1992)                                                                                                                                     |   1000000.00
 Japan                 |         1992 | Waxwork II: Lost in Time (1992)                                                                                                                              |   3500000.00
 Japan                 |         1991 | Sundown: The Vampire in Retreat (1989)                                                                                                                       |   3000000.00
 Japan                 |         1990 | Witchtrap (1989)                                                                                                                                             |    420000.00
 Japan                 |         1989 | Godzilla vs. Biollante (1989)                                                                                                                                |   5000000.00
 Japan                 |         1988 | The Newlydeads (1988)                                                                                                                                        |    250000.00
 Japan                 |         1987 | The Outing (1987)                                                                                                                                            |   2000000.00
 Japan                 |         1980 | Day of Resurrection (1980)                                                                                                                                   |  16000000.00
 Japan                 |         1978 | The Manitou (1977)                                                                                                                                           |   3000000.00
 Japan                 |         1973 | Stanley (1972)                                                                                                                                               |    125000.00
 Japan                 |         1971 | House of Dark Shadows (1970)                                                                                                                                 |    750000.00
 Japan                 |         1963 | The Haunting (1963)                                                                                                                                          |   1400000.00
 Japan                 |         1960 | House of Usher (1960)                                                                                                                                        |    200000.00
 Kazakhstan            |         2011 | Hidden 3D (2011)                                                                                                                                             |   8000000.00
 Kuwait                |         2016 | Tank 432 (2015)                                                                                                                                              |   1320000.00
 Kuwait                |         2015 | Into the Grizzly Maze (2015)                                                                                                                                 |  10000000.00
 Kuwait                |         2014 | Repentance (2013)                                                                                                                                            |   5000000.00
 Kuwait                |         2012 | Beneath the Darkness (2011)                                                                                                                                  |   7300000.00
 Latvia                |         2015 | The Man in the Orange Jacket (2014)                                                                                                                          |     46800.00
 Malaysia              |         2013 | Spiders 3D (2013)                                                                                                                                            |   7000000.00
 Mexico                |         2016 | La Niña de la Mina (2016)                                                                                                                                    |   1200000.00
 Mexico                |         2015 | The Forgotten (2014)                                                                                                                                         |   1320000.00
 Mexico                |         2014 | The Devil's Hand (2014)                                                                                                                                      |   7000000.00
 Mexico                |         2013 | Halley (2012)                                                                                                                                                |    500000.00
 Mexico                |         2010 | Deadline (2009)                                                                                                                                              |   1800000.00
 Mexico                |         2009 | Walled In (2009)                                                                                                                                             |  10000000.00
 Mexico                |         2007 | Hasta el viento tiene miedo (2007)                                                                                                                           |   1000000.00
 Mexico                |         1991 | The Borrower (1991)                                                                                                                                          |   2000000.00
 Mexico                |         1971 | Octaman (1971)                                                                                                                                               |    250000.00
 Mexico                |         1966 | The Crawling Hand (1963)                                                                                                                                     |    100000.00
 Mexico                |         1965 | Night Tide (1961)                                                                                                                                            |     25000.00
 Mexico                |         1962 | The Hideous Sun Demon (1962)                                                                                                                                 |     58500.00
 Mexico                |         1921 | The Penalty (1920)                                                                                                                                           |     88868.00
 Morocco               |         2008 | The Objective (2008)                                                                                                                                         |   4000000.00
 Netherlands           |         2017 | The Little Vampire 3D (2017)                                                                                                                                 |  10000000.00
 Netherlands           |         2016 | Prey (2016)                                                                                                                                                  |   4130100.00
 Netherlands           |         2015 | The Apostle (2012)                                                                                                                                           |  15000000.00
 Netherlands           |         2013 | Aaah! Zombies!! (2007)                                                                                                                                       |   1000000.00
 Netherlands           |         2012 | Kill Zombie! (2012)                                                                                                                                          |    585000.00
 Netherlands           |         2011 | Mother's Day (2010)                                                                                                                                          |  11000000.00
 Netherlands           |         2010 | The New Daughter (2009)                                                                                                                                      |  15000000.00
 Netherlands           |         2006 | Dood eind (2006)                                                                                                                                             |   1170000.00
 Netherlands           |         2005 | Gruesome School Trip (2005)                                                                                                                                  |   2681693.82
 Netherlands           |         2003 | Grimm (2003)                                                                                                                                                 |   3700000.00
 Netherlands           |         2002 | Ichi the Killer (2001)                                                                                                                                       |   1400000.00
 Netherlands           |         2001 | The Shaft (2001)                                                                                                                                             |  15000000.00
 Netherlands           |         1959 | The Haunted Strangler (1958)                                                                                                                                 |     92400.00
 New Zealand           |         2007 | Perfect Creature (2006)                                                                                                                                      |  11000000.00
 New Zealand           |         2001 | Truth About Demons (2000)                                                                                                                                    |    500000.00
 Norway                |         2015 | Villmark 2 (2015)                                                                                                                                            |   1500000.00
 Norway                |         2012 | The Tortured (2010)                                                                                                                                          |   8500000.00
 Norway                |         2009 | Dead Snow (2009)                                                                                                                                             |    800000.00
 Norway                |         1987 | Truth or Dare?: A Critical Madness (1986)                                                                                                                    |    200000.00
 Peru                  |         2017 | Una Comedia Macabra (2017)                                                                                                                                   |    600000.00
 Peru                  |         2016 | Cementerio General 2 (2016)                                                                                                                                  |   1200000.00
 Peru                  |         2015 | The Entity (2015)                                                                                                                                            |   3000000.00
 Peru                  |         2014 | Face of the Devil (2014)                                                                                                                                     |   3140000.00
 Peru                  |         2013 | Cementerio General (2013)                                                                                                                                    |    400000.00
 Peru                  |         2013 | Cementerio General (2013)                                                                                                                                    |    400000.00
 Peru                  |         1988 | Near Dark (1987)                                                                                                                                             |   5000000.00
 Peru                  |         1963 | What Ever Happened to Baby Jane? (1962)                                                                                                                      |    980000.00
 Philippines           |         2016 | The Rezort (2015)                                                                                                                                            |   6600000.00
 Philippines           |         2015 | Infini (2015)                                                                                                                                                |    800000.00
 Philippines           |         2014 | Expiration (2011)                                                                                                                                            |     70000.00
 Philippines           |         2013 | The Vatican Exorcisms (2013)                                                                                                                                 |   1100000.00
 Philippines           |         2011 | Forget Me Not (2009)                                                                                                                                         |   1300000.00
 Philippines           |         2009 | Kinatay (2009)                                                                                                                                               |    800000.00
 Philippines           |         2007 | Whisper (2007)                                                                                                                                               |  12000000.00
 Philippines           |         2001 | The St. Francisville Experiment (2000)                                                                                                                       |    250000.00
 Philippines           |         1998 | Darklands (1996)                                                                                                                                             |    750000.00
 Philippines           |         1969 | Mad Doctor of Blood Island (1968)                                                                                                                            |    125000.00
 Poland                |         2014 | 13 Sins (2014)                                                                                                                                               |   4000000.00
 Portugal              |         2015 | Awaiting (2015)                                                                                                                                              |   3000000.00
 Portugal              |         2007 | Moscow Zero (2006)                                                                                                                                           |  10000000.00
 Portugal              |         2005 | Riding the Bullet (2004)                                                                                                                                     |   5000000.00
 Portugal              |         1991 | Scarecrows (1988)                                                                                                                                            |    425000.00
 Puerto Rico           |         2016 | Vasos De Papel (2016)                                                                                                                                        |    350000.00
 Romania               |         2013 | Miss Christina (2013)                                                                                                                                        |   1287000.00
 Russia                |         2016 | Bunker of the Dead (2015)                                                                                                                                    |    614250.00
 Russia                |         2013 | Nurse 3D (2013)                                                                                                                                              |  10000000.00
 Russia                |         2012 | Big Bad Bugs (2012)                                                                                                                                          |   1000000.00
 Russia                |         2011 | 51 (2011)                                                                                                                                                    |   1000000.00
 Russia                |         2010 | Chain Letter (2009)                                                                                                                                          |   5000000.00
 Russia                |         2009 | Kill Theory (2009)                                                                                                                                           |   6000000.00
 Russia                |         2008 | The Midnight Meat Train (2008)                                                                                                                               |  15000000.00
 Russia                |         2007 | The Marsh (2006)                                                                                                                                             |   9000000.00
 Russia                |         2006 | Minotaur (2006)                                                                                                                                              |   7000000.00
 Russia                |         2005 | Shallow Ground (2004)                                                                                                                                        |     72000.00
 Serbia and Montenegro |         2006 | Sheitan Warrior (2006)                                                                                                                                       |    300000.00
 Singapore             |         2013 | The Haunting in Connecticut 2: Ghosts of Georgia (2013)                                                                                                      |   9000000.00
 Singapore             |         2011 | 23:59 (2011)                                                                                                                                                 |    600000.00
 Singapore             |         2009 | Autopsy (2008)                                                                                                                                               |   2000000.00
 Singapore             |         2007 | Feast (2005)                                                                                                                                                 |   3200000.00
 Singapore             |         2006 | Dead & Breakfast (2004)                                                                                                                                      |    500000.00
 Singapore             |         2005 | Man-Thing (2005)                                                                                                                                             |   7500000.00
 Singapore             |         2003 | The Gathering (2002)                                                                                                                                         |  18000000.00
 Singapore             |         1999 | Beowulf (1999)                                                                                                                                               |   3500000.00
 Slovakia              |         2014 | Socialistický Zombi Mord (2014)                                                                                                                              |     23400.00
 Slovenia              |         2015 | Killbillies (2015)                                                                                                                                           |    257400.00
 Slovenia              |         2011 | The Life and Death of a Porno Gang (2009)                                                                                                                    |    163800.00
 South Africa          |         2010 | The Unforgiving (2010)                                                                                                                                       |      5000.00
 South Africa          |         1998 | The Minion (1998)                                                                                                                                            |   3000000.00
 South Korea           |         2016 | Quarantine L.A. (2013)                                                                                                                                       |   1200000.00
 South Korea           |         2015 | Treehouse (2014)                                                                                                                                             |   3250000.00
 South Korea           |         2014 | Sonyeogoedam (2014)                                                                                                                                          |   2000000.00
 South Korea           |         2013 | Julia X (2011)                                                                                                                                               |   4000000.00
 South Korea           |         2012 | Nine Miles Down (2009)                                                                                                                                       |  22000000.00
 South Korea           |         2011 | Super Hybrid (2010)                                                                                                                                          |  13000000.00
 South Korea           |         2010 | Bedevilled (2010)                                                                                                                                            |    700000.00
 South Korea           |         2009 | Thirst (2009)                                                                                                                                                |   5000000.00
 South Korea           |         2009 | The Echo (2008)                                                                                                                                              |   5000000.00
 South Korea           |         2008 | 100 Feet (2008)                                                                                                                                              |  10000000.00
 South Korea           |         2007 | Hansel and Gretel (2007)                                                                                                                                     |   4000000.00
 South Korea           |         2006 | Bloody Reunion (2006)                                                                                                                                        |   2500000.00
 South Korea           |         2005 | Antarctic Journal (2005)                                                                                                                                     |   6500000.00
 South Korea           |         2004 | Ghost House (2004)                                                                                                                                           |   3700000.00
 South Korea           |         2003 | Acacia (2003)                                                                                                                                                |   2200000.00
 South Korea           |         2000 | Spiders (2000)                                                                                                                                               |   2000000.00
 South Korea           |         1993 | Doppelganger (1993)                                                                                                                                          |   3000000.00
 South Korea           |         1989 | Troma's War (1988)                                                                                                                                           |   3000000.00
 Spain                 |         2017 | Marrowbone (2017)                                                                                                                                            |   9360000.00
 Spain                 |         2016 | Without Name (2016)                                                                                                                                          |    409500.00
 Spain                 |         2015 | Second Origin (2015)                                                                                                                                         |   7020000.00
 Spain                 |         2014 | [REC] 4: Apocalypse (2014)                                                                                                                                   |   3510000.00
 Spain                 |         2013 | The Last Days (2013)                                                                                                                                         |   5850000.00
 Spain                 |         2012 | Red Lights (2012)                                                                                                                                            |  16380000.00
 Spain                 |         2011 | Intruders (2011)                                                                                                                                             |  13000000.00
 Spain                 |         2010 | The Valdemar Legacy (2010)                                                                                                                                   |   7605000.00
 Spain                 |         2009 | [Rec] 2 (2009)                                                                                                                                               |   5600000.00
 Spain                 |         2008 | Timecrimes (2007)                                                                                                                                            |   2600000.00
 Spain                 |         2007 | The Backwoods (2006)                                                                                                                                         |   4212000.00
 Spain                 |         2006 | H6: Diario de un asesino (2005)                                                                                                                              |   1404000.00
 Spain                 |         2005 | Fragile (2005)                                                                                                                                               |   8190000.00
 Spain                 |         2004 | Romasanta: The Werewolf Hunt (2004)                                                                                                                          |   5265000.00
 Spain                 |         2003 | Beyond Re-Animator (2003)                                                                                                                                    |   3000000.00
 Spain                 |         2002 | Second Name (2002)                                                                                                                                           |   2925000.00
 Spain                 |         2001 | Dagon (2001)                                                                                                                                                 |   4914000.00
 Spain                 |         1999 | The Nameless (1999)                                                                                                                                          |   1053000.00
 Spain                 |         1997 | Dance with the Devil (1997)                                                                                                                                  |   4914000.00
 Spain                 |         1996 | Killer Tongue (1996)                                                                                                                                         |   4000000.00
 Sweden                |         2017 | Sargad (2017)                                                                                                                                                |      3000.00
 Sweden                |         2015 | Evil Ed Special EDition (2015)                                                                                                                               |     30000.00
 Sweden                |         2014 | The Hybrid (2014)                                                                                                                                            |   2800000.00
 Sweden                |         2013 | Airborne (2012)                                                                                                                                              |   1200000.00
 Sweden                |         2010 | The Final Storm (2010)                                                                                                                                       |   5000000.00
 Sweden                |         2005 | Die Zombiejäger (2005)                                                                                                                                       |      5148.00
 Sweden                |         1991 | Poison (1991)                                                                                                                                                |    250000.00
